cantante,nacionalidad,fecha_nac,concierto,num_canciones,duracion,recinto,pais,continente,max_entradas,entradas_vendidas
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,Foro Sol,México,América del Norte,65000,39384
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Allianz Arena,Alemania,Europa,75000,54160
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,National Stadium Singapore,Singapur,Asia,55000,51790
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,WiZink Center,España,Europa,17000,13985
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,United Center,Estados Unidos,América del Norte,21000,12458
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Staples Center,Estados Unidos,América del Norte,20000,17195
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,United Center,Estados Unidos,América del Norte,21000,18565
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Foro Sol,México,América del Norte,65000,45160
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,River Plate Stadium,Argentina,América del Sur,83000,76621
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Santiago Bernabéu,España,Europa,81000,69477
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,Estadio Azteca,México,América del Norte,87000,53253
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Foro Sol,México,América del Norte,65000,49733
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,25687
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,49084
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,49680
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Mercury World Tour,22,110,SoFi Stadium,Estados Unidos,América del Norte,70000,64004
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Estadio Azteca,México,América del Norte,87000,81178
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Camp Nou,España,Europa,99000,53088
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Rod Laver Arena,Australia,Oceanía,15000,9299
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,National Stadium Singapore,Singapur,Asia,55000,46008
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Staples Center,Estados Unidos,América del Norte,20000,18080
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Arena Ciudad de México,México,América del Norte,22000,19570
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,45526
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Camp Nou,España,Europa,99000,87646
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,Rogers Centre,Canadá,América del Norte,50000,37043
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,MetLife Stadium,Estados Unidos,América del Norte,82500,51617
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,United Center,Estados Unidos,América del Norte,21000,18464
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Olympic Stadium,Reino Unido,Europa,60000,53753
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Allianz Arena,Alemania,Europa,75000,62084
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Palau Sant Jordi,España,Europa,18000,13125
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Tokyo Dome,Japón,Asia,55000,47566
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Arena Corinthians,Brasil,América del Sur,49000,29862
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Sydney Olympic Park,Australia,Oceanía,83000,70180
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Estadio Azteca,México,América del Norte,87000,54796
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Rogers Centre,Canadá,América del Norte,50000,28393
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Estadio Azteca,México,América del Norte,87000,57421
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Foro Sol,México,América del Norte,65000,43257
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,AT&T Stadium,Estados Unidos,América del Norte,80000,76077
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Estadio Azteca,México,América del Norte,87000,57946
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,80665
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,River Plate Stadium,Argentina,América del Sur,83000,75948
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Scotiabank Arena,Canadá,América del Norte,20000,17678
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,River Plate Stadium,Argentina,América del Sur,83000,82915
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Reputation Stadium Tour,24,120,United Center,Estados Unidos,América del Norte,21000,16159
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,MetLife Stadium,Estados Unidos,América del Norte,82500,61582
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Tokyo Dome,Japón,Asia,55000,41768
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Sydney Olympic Park,Australia,Oceanía,83000,41925
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Accor Arena,Francia,Europa,20000,13174
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,WiZink Center,España,Europa,17000,10285
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,Staples Center,Estados Unidos,América del Norte,20000,13633
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,Estadio Azteca,México,América del Norte,87000,54343
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,SoFi Stadium,Estados Unidos,América del Norte,70000,56387
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,AT&T Stadium,Estados Unidos,América del Norte,80000,79317
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Arena Ciudad de México,México,América del Norte,22000,18408
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,SoFi Stadium,Estados Unidos,América del Norte,70000,44825
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,Rogers Centre,Canadá,América del Norte,50000,26550
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,SoFi Stadium,Estados Unidos,América del Norte,70000,35321
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,O2 Arena,Reino Unido,Europa,20000,13715
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Maracanã Stadium,Brasil,América del Sur,78000,59831
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,52894
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Wembley Stadium,Reino Unido,Europa,90000,63955
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,Estadio Azteca,México,América del Norte,87000,47103
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Tokyo Dome,Japón,Asia,55000,42621
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Speak Now World Tour,15,95,Sydney Olympic Park,Australia,Oceanía,83000,64225
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Scotiabank Arena,Canadá,América del Norte,20000,11409
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Madison Square Garden,Estados Unidos,América del Norte,20000,17475
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Speak Now World Tour,15,95,Estadio Azteca,México,América del Norte,87000,86045
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Santiago Bernabéu,España,Europa,81000,58919
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Arena Corinthians,Brasil,América del Sur,49000,46164
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,Palau Sant Jordi,España,Europa,18000,13677
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Camp Nou,España,Europa,99000,95333
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,United Center,Estados Unidos,América del Norte,21000,11207
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Camp Nou,España,Europa,99000,97149
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,60327
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,Estadio Azteca,México,América del Norte,87000,43573
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,O2 Arena,Reino Unido,Europa,20000,18965
Justin Bieber,Canadiense,1994-03-01 00:00:00,Purpose World Tour,24,115,Arena Ciudad de México,México,América del Norte,22000,13178
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,O2 Arena,Reino Unido,Europa,20000,14244
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,WiZink Center,España,Europa,17000,13669
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,68673
Maroon 5,Estadounidense,2000-01-01 00:00:00,Overexposed Tour,18,95,Santiago Bernabéu,España,Europa,81000,51948
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,82218
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,National Stadium Singapore,Singapur,Asia,55000,28949
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Tokyo Dome,Japón,Asia,55000,51820
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Accor Arena,Francia,Europa,20000,10476
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Allianz Arena,Alemania,Europa,75000,69860
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,70480
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,MetLife Stadium,Estados Unidos,América del Norte,82500,60555
Taylor Swift,Estadounidense,1989-12-13 00:00:00,The Eras Tour,45,195,SoFi Stadium,Estados Unidos,América del Norte,70000,54305
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,32026
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Maracanã Stadium,Brasil,América del Sur,78000,72921
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Allianz Arena,Alemania,Europa,75000,44298
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Accor Arena,Francia,Europa,20000,19047
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,River Plate Stadium,Argentina,América del Sur,83000,44686
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Rogers Centre,Canadá,América del Norte,50000,44701
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Staples Center,Estados Unidos,América del Norte,20000,18476
Beyonce,Estadounidense,1981-09-04 00:00:00,Formation World Tour,32,140,WiZink Center,España,Europa,17000,14214
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Camp Nou,España,Europa,99000,67923
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,Santiago Bernabéu,España,Europa,81000,43859
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,O2 Arena,Reino Unido,Europa,20000,11096
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,O2 Arena,Reino Unido,Europa,20000,19721
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,MetLife Stadium,Estados Unidos,América del Norte,82500,71941
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Maracanã Stadium,Brasil,América del Sur,78000,52479
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Rod Laver Arena,Australia,Oceanía,15000,11035
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,19706
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Arena Corinthians,Brasil,América del Sur,49000,31648
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Scotiabank Arena,Canadá,América del Norte,20000,13861
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,Camp Nou,España,Europa,99000,56144
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Maracanã Stadium,Brasil,América del Sur,78000,51618
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Santiago Bernabéu,España,Europa,81000,56829
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,Madison Square Garden,Estados Unidos,América del Norte,20000,11809
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,Arena Corinthians,Brasil,América del Sur,49000,27582
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,AT&T Stadium,Estados Unidos,América del Norte,80000,42209
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,Palau Sant Jordi,España,Europa,18000,12449
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Arena Ciudad de México,México,América del Norte,22000,16935
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Arena Ciudad de México,México,América del Norte,22000,20365
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,50718
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Santiago Bernabéu,España,Europa,81000,56741
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,River Plate Stadium,Argentina,América del Sur,83000,78678
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Scotiabank Arena,Canadá,América del Norte,20000,11292
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,39183
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,Staples Center,Estados Unidos,América del Norte,20000,11908
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,National Stadium Singapore,Singapur,Asia,55000,33231
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Rod Laver Arena,Australia,Oceanía,15000,10337
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Maracanã Stadium,Brasil,América del Sur,78000,74533
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,37115
Beyonce,Estadounidense,1981-09-04 00:00:00,On the Run II Tour,36,160,Movistar Arena Madrid,España,Europa,17000,12178
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,United Center,Estados Unidos,América del Norte,21000,13986
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,Rod Laver Arena,Australia,Oceanía,15000,10363
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Rod Laver Arena,Australia,Oceanía,15000,11787
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,WiZink Center,España,Europa,17000,11048
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Camp Nou,España,Europa,99000,52738
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Scotiabank Arena,Canadá,América del Norte,20000,14506
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Speak Now World Tour,15,95,Arena Ciudad de México,México,América del Norte,22000,16929
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,47606
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Speak Now World Tour,15,95,WiZink Center,España,Europa,17000,15125
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,National Stadium Singapore,Singapur,Asia,55000,53024
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Maracanã Stadium,Brasil,América del Sur,78000,52997
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Maracanã Stadium,Brasil,América del Sur,78000,54221
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Movistar Arena Madrid,España,Europa,17000,16417
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Fearless Tour,14,90,WiZink Center,España,Europa,17000,16434
Taylor Swift,Estadounidense,1989-12-13 00:00:00,The Eras Tour,45,195,Olympic Stadium,Reino Unido,Europa,60000,46901
Maroon 5,Estadounidense,2000-01-01 00:00:00,Overexposed Tour,18,95,River Plate Stadium,Argentina,América del Sur,83000,69832
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Arena Ciudad de México,México,América del Norte,22000,13697
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Staples Center,Estados Unidos,América del Norte,20000,12512
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Speak Now World Tour,15,95,AT&T Stadium,Estados Unidos,América del Norte,80000,65893
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,AT&T Stadium,Estados Unidos,América del Norte,80000,76803
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,SoFi Stadium,Estados Unidos,América del Norte,70000,63491
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Madison Square Garden,Estados Unidos,América del Norte,20000,17993
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Scotiabank Arena,Canadá,América del Norte,20000,12290
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Foro Sol,México,América del Norte,65000,39867
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Tokyo Dome,Japón,Asia,55000,36848
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,53914
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Fearless Tour,14,90,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,81876
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Reputation Stadium Tour,24,120,AT&T Stadium,Estados Unidos,América del Norte,80000,59053
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,Movistar Arena Madrid,España,Europa,17000,13730
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,Rod Laver Arena,Australia,Oceanía,15000,10041
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Estadio Azteca,México,América del Norte,87000,56104
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Rod Laver Arena,Australia,Oceanía,15000,9203
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Allianz Arena,Alemania,Europa,75000,69598
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Camp Nou,España,Europa,99000,51367
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,AT&T Stadium,Estados Unidos,América del Norte,80000,78593
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Tokyo Dome,Japón,Asia,55000,41651
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Estadio Azteca,México,América del Norte,87000,66200
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,Madison Square Garden,Estados Unidos,América del Norte,20000,17589
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Staples Center,Estados Unidos,América del Norte,20000,17750
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Rogers Centre,Canadá,América del Norte,50000,46411
Beyonce,Estadounidense,1981-09-04 00:00:00,Formation World Tour,32,140,Arena Corinthians,Brasil,América del Sur,49000,29684
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Santiago Bernabéu,España,Europa,81000,51789
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,Rogers Centre,Canadá,América del Norte,50000,37073
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,Staples Center,Estados Unidos,América del Norte,20000,14499
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Palau Sant Jordi,España,Europa,18000,15395
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,Arena Ciudad de México,México,América del Norte,22000,13421
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Arena Ciudad de México,México,América del Norte,22000,18497
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,MetLife Stadium,Estados Unidos,América del Norte,82500,61697
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Wembley Stadium,Reino Unido,Europa,90000,51422
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,National Stadium Singapore,Singapur,Asia,55000,45385
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Palau Sant Jordi,España,Europa,18000,17016
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,SoFi Stadium,Estados Unidos,América del Norte,70000,65413
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,National Stadium Singapore,Singapur,Asia,55000,34977
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Red Tour,17,100,O2 Arena,Reino Unido,Europa,20000,10944
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,National Stadium Singapore,Singapur,Asia,55000,54068
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Staples Center,Estados Unidos,América del Norte,20000,17433
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Olympic Stadium,Reino Unido,Europa,60000,41026
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,MetLife Stadium,Estados Unidos,América del Norte,82500,44873
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,SoFi Stadium,Estados Unidos,América del Norte,70000,38366
Beyonce,Estadounidense,1981-09-04 00:00:00,On the Run II Tour,36,160,Sydney Olympic Park,Australia,Oceanía,83000,65882
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Palau Sant Jordi,España,Europa,18000,10474
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Allianz Arena,Alemania,Europa,75000,48124
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,United Center,Estados Unidos,América del Norte,21000,13476
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,AT&T Stadium,Estados Unidos,América del Norte,80000,77524
Beyonce,Estadounidense,1981-09-04 00:00:00,On the Run II Tour,36,160,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,71898
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,River Plate Stadium,Argentina,América del Sur,83000,59632
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Foro Sol,México,América del Norte,65000,52077
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Madison Square Garden,Estados Unidos,América del Norte,20000,12287
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,Rod Laver Arena,Australia,Oceanía,15000,13548
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Allianz Arena,Alemania,Europa,75000,51517
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,Palau Sant Jordi,España,Europa,18000,11380
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,Arena Corinthians,Brasil,América del Sur,49000,25571
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Sydney Olympic Park,Australia,Oceanía,83000,50392
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,United Center,Estados Unidos,América del Norte,21000,18421
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Allianz Arena,Alemania,Europa,75000,71701
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,National Stadium Singapore,Singapur,Asia,55000,53389
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,National Stadium Singapore,Singapur,Asia,55000,31933
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,WiZink Center,España,Europa,17000,14424
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Santiago Bernabéu,España,Europa,81000,76771
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Scotiabank Arena,Canadá,América del Norte,20000,13985
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Speak Now World Tour,15,95,O2 Arena,Reino Unido,Europa,20000,14678
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Allianz Arena,Alemania,Europa,75000,62752
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,50026
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Camp Nou,España,Europa,99000,75556
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,SoFi Stadium,Estados Unidos,América del Norte,70000,39491
